cross,male,population.male,male.treat,female,population.female,female.treat,pop.cross,pop.treat,dpf,treat,rep,number of larvae,success,fail,prop
MExMIA,messi,moclip,messi.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,33,20,11,9,0.55
MExMIA,messi,moclip,messi.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,33,20,18,2,0.9
MExMIA,messi,moclip,messi.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,34,19,14,5,0.736842105
MExMIA,messi,moclip,messi.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,34,17,8,9,0.470588235
MExMIA,messi,moclip,messi.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,35,16,11,5,0.6875
MExMIA,messi,moclip,messi.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,35,18,12,6,0.666666667
MExMIA,messi,moclip,messi.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,36,19,12,7,0.631578947
MExMIA,messi,moclip,messi.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,36,19,13,6,0.684210526
MExMIN,messi,moclip,messi.umc,mindy,moclip,mindy.umc,moclips,moclips.umc,11,umc,17,20,8,12,0.4
MExMIN,messi,moclip,messi.500,mindy,moclip,mindy.500,moclips,moclips.500,11,z500,17,19,16,3,0.842105263
MExMIN,messi,moclip,messi.umc,mindy,moclip,mindy.umc,moclips,moclips.umc,11,umc,18,18,14,4,0.777777778
MExMIN,messi,moclip,messi.500,mindy,moclip,mindy.500,moclips,moclips.500,11,z500,18,20,13,7,0.65
MExMIN,messi,moclip,messi.umc,mindy,moclip,mindy.umc,moclips,moclips.umc,11,umc,19,20,10,10,0.5
MExMIN,messi,moclip,messi.500,mindy,moclip,mindy.500,moclips,moclips.500,11,z500,19,19,15,4,0.789473684
MExMIN,messi,moclip,messi.umc,mindy,moclip,mindy.umc,moclips,moclips.umc,11,umc,20,20,12,8,0.6
MExMIN,messi,moclip,messi.500,mindy,moclip,mindy.500,moclips,moclips.500,11,z500,20,18,11,7,0.611111111
MExOL,messi,moclip,messi.umc,olivia,orcas,olivia.umc,zhybrid,zhybrid.umc,12,umc,45,9,8,1,0.888888889
MExOL,messi,moclip,messi.500,olivia,orcas,olivia.500,zhybrid,zhybrid.500,12,z500,45,10,10,0,1
MExOL,messi,moclip,messi.umc,olivia,orcas,olivia.umc,zhybrid,zhybrid.umc,12,umc,46,9,8,1,0.888888889
MExOL,messi,moclip,messi.500,olivia,orcas,olivia.500,zhybrid,zhybrid.500,12,z500,46,8,8,0,1
MExOL,messi,moclip,messi.umc,olivia,orcas,olivia.umc,zhybrid,zhybrid.umc,12,umc,47,9,6,3,0.666666667
MExOL,messi,moclip,messi.500,olivia,orcas,olivia.500,zhybrid,zhybrid.500,12,z500,47,8,8,0,1
MOxMIA,mork,moclip,mork.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,37,20,9,11,0.45
MOxMIA,mork,moclip,mork.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,37,19,10,9,0.526315789
MOxMIA,mork,moclip,mork.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,38,16,11,5,0.6875
MOxMIA,mork,moclip,mork.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,38,20,9,11,0.45
MOxMIA,mork,moclip,mork.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,39,20,14,6,0.7
MOxMIA,mork,moclip,mork.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,39,20,9,11,0.45
MOxMIA,mork,moclip,mork.umc,mian,moclip,mian.umc,moclips,moclips.umc,12,umc,40,16,9,7,0.5625
MOxMIA,mork,moclip,mork.500,mian,moclip,mian.500,moclips,moclips.500,12,z500,40,19,9,10,0.473684211
